rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,anom_swh_p80_deseasonalized_abs_change_7 > threshold,6,0.49768230775181616,0.05374390569467574,0.4770631652170266,0.5263077200577201,0.7954337899543379,227,254,1515,194,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p75_deseasonalized_detrended_trend_14 > t2,6,0.4974838335314024,0.04588232987393766,0.3629498416135391,0.8079707792207792,0.6840182648401827,348,619,1150,73,6
single,anom_swh_p75_deseasonalized_rolling_mean_3 > threshold,6,0.4973515947186819,0.08293212451263651,0.42679177347267405,0.6476244588744589,0.7429223744292237,279,421,1348,142,6
single,anom_swh_p75_deseasonalized_persistence_3 > threshold,6,0.4973515947186819,0.08293212451263651,0.42679177347267405,0.6476244588744589,0.7429223744292237,279,421,1348,142,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_mean_deseasonalized_detrended_trend_14 > t2,6,0.49698597860702937,0.04730545816120801,0.36499223650693985,0.8039664502164502,0.682648401826484,345,619,1150,76,6
single,anom_swh_median_deseasonalized_detrended_rolling_mean_3 > threshold,6,0.4958716937592211,0.08342043669066533,0.4445432437718497,0.6376966089466088,0.7401826484018265,282,430,1339,139,6
single,anom_swh_median_deseasonalized_detrended_persistence_3 > threshold,6,0.49573036527143594,0.08314645767753603,0.44706202792485517,0.6351713564213565,0.7406392694063927,281,428,1341,140,6
single,anom_swh_sd_deseasonalized_detrended_persistence_2 > threshold,6,0.49529989975326894,0.06126115473026254,0.5217026258453316,0.5059199134199135,0.8009132420091324,209,224,1545,212,6
single,anom_swh_mean_deseasonalized_detrended_persistence_3 > threshold,6,0.49528540305658897,0.08529449085069853,0.3995727889875757,0.6937878787878788,0.7182648401826484,302,498,1271,119,6
single,anom_swh_p75_deseasonalized_detrended_persistence_3 > threshold,6,0.4952523750274079,0.08054137477704237,0.4204863244822166,0.6277128427128427,0.7534246575342465,271,390,1379,150,6
single,anom_swh_max_deseasonalized_trend_3 > threshold,6,0.4950258171300803,0.058564226137328534,0.5044636215179766,0.4952958152958153,0.8031963470319635,209,219,1550,212,6
single,anom_swh_max_deseasonalized_detrended_trend_3 > threshold,6,0.4950258171300803,0.058564226137328534,0.5044636215179766,0.4952958152958153,0.8031963470319635,209,219,1550,212,6
single,anom_swh_mean_deseasonalized_detrended_rolling_mean_3 > threshold,6,0.49501294124566564,0.08523872217058517,0.3989957341312984,0.6954545454545454,0.7168949771689498,303,502,1267,118,6
