rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful,run,source_file,combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob,std_loss,min_loss,p99_loss,mean_events,std_events,p99_events,max_events,mean_tp,mean_fp,mean_fn,p99_tp,p99_fp,p99_fn,mean_tp_cost,mean_fp_cost,mean_fn_cost,p99_tp_cost,p99_fp_cost,p99_fn_cost,obs_tp,obs_fp,obs_tn,obs_fn,obs_precision,obs_recall,obs_accuracy,obs_f1,method,rule_features,min_days,n_fishermen,daily_wage,n_simulations,block_length,window_days,trigger_features,trigger_thresholds,n_jobs,obs_mean_yearly_loss,obs_yearly_losses_by_year,rule_description
single,anom_swh_p80_deseasonalized_detrended_abs_change_14_lag_1 > threshold,6.0,0.4199060025640866,0.058759121563609,0.3580798902787734,0.6154478275985007,0.5748858447488585,346.0,735.0,913.0,196.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_deseasonalized_detrended_persistence_7 > threshold,6.0,0.4197974138681888,0.0597548220604715,0.2851839779069826,0.8479671382170512,0.4182648401826483,461.0,1193.0,455.0,81.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_trend_7_lag_1 > threshold,6.0,0.4191264965293733,0.0353924188524994,0.2879764252861705,0.8073190412268452,0.4452054794520548,450.0,1123.0,525.0,92.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_trend_14 > threshold,6.0,0.4190923302984215,0.0599333684262723,0.3016014914533927,0.7269168733228676,0.502283105022831,406.0,954.0,694.0,136.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_deseasonalized_trend_14 > threshold,6.0,0.4190686860722936,0.0570857585367159,0.2997701853791579,0.7487627949569977,0.4872146118721461,416.0,997.0,651.0,126.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_deseasonalized_detrended_trend_14 > threshold,6.0,0.4190686860722936,0.0570857585367159,0.2997701853791579,0.7487627949569977,0.4872146118721461,416.0,997.0,651.0,126.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_deseasonalized_persistence_7 > threshold,6.0,0.4189065638673141,0.059740191301015,0.2788936917687611,0.8768909994412568,0.3990867579908676,478.0,1252.0,396.0,64.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p25_deseasonalized_detrended_persistence_7 > threshold,6.0,0.4185091417259006,0.0607360039423374,0.2820569428320143,0.8643269056524985,0.4054794520547944,467.0,1227.0,421.0,75.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_detrended_rolling_mean_7 > threshold,6.0,0.4184874815138619,0.0591307553150905,0.2782034546298235,0.8790714201532309,0.3963470319634703,479.0,1259.0,389.0,63.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p75_trend_14 > threshold,6.0,0.4184667224710849,0.055952619486746,0.2908337468670104,0.7773188303029229,0.4680365296803653,431.0,1054.0,594.0,111.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
