feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
anom_swh_max_deseasonalized_detrended_std_14d,3.9541676046079988,2,0.4,"mutual_info, domain_selection",67,72.0
swh_iqr_deseasonalized_detrended_max_14d,3.9273917342199973,2,0.4,"random_forest, domain_selection",59,83.0
anom_swh_mean_deseasonalized_detrended_mean_7d,3.9187143437976406,3,0.6,"random_forest, mutual_info, domain_selection",147,157.66666666666666
clima_swh_mean_deseasonalized_detrended_min_7d,3.910151462677547,3,0.6,"random_forest, extra_trees, mutual_info",77,132.0
anom_swh_median_deseasonalized_detrended_min_2d,3.906270486622147,3,0.6,"random_forest, extra_trees, f_test",111,120.33333333333333
anom_swh_p25_deseasonalized_detrended_lag_1d,3.870744589290762,2,0.4,"extra_trees, domain_selection",66,68.0
swh_p75_deseasonalized_detrended_min_14d,3.864594879172098,2,0.4,"extra_trees, mutual_info",18,34.5
swh_p80_deseasonalized_detrended_max_2d,3.8509047525419735,3,0.6,"extra_trees, f_test, domain_selection",92,136.33333333333334
clima_swh_mean_deseasonalized_detrended_lag_3d,3.837780211054613,2,0.4,"random_forest, extra_trees",27,47.0
swh_mean_deseasonalized_detrended_mean_5d,3.8203255348219023,2,0.4,"random_forest, extra_trees",38,51.0
anom_swh_p80_deseasonalized_detrended_max_14d,3.8035811587349113,2,0.4,"mutual_info, domain_selection",36,97.0
swh_p80_deseasonalized_detrended_max_7d,3.8025541583131686,2,0.4,"mutual_info, domain_selection",74,80.0
