date,estimated_probability,calibrated_probability,optimal_threshold,predicted_event,observed_event,feature_set,lr_variant,cv_f1_score
2024-06-02,0.0011654961528396283,0.000568867061913895,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-03,0.0010422012121588027,0.000504055807847315,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-04,0.0009811135797787162,0.0004736177846397023,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-05,0.022435666073996153,0.02335174801442752,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-06,0.14470467199971648,0.2331711811623173,0.05819999999999996,1,0,GLOBAL,L2,0.31861406163196443
2024-06-07,0.044024373421802765,0.04970943166581273,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-08,0.02328403160999835,0.019649367011684724,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-09,0.027288598224372036,0.023950470599125157,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-10,0.015232208264432678,0.012113079451116435,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-11,0.005615583647241213,0.0037391235096709587,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-12,0.003972625203913581,0.00243960169672888,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-13,0.00577281001547812,0.0036780431171462395,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-14,0.015744765817502362,0.012279025178442237,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-15,0.07099093063752442,0.08201064544460214,0.05819999999999996,1,0,GLOBAL,L2,0.31861406163196443
2024-06-16,0.06132519269372063,0.06801274136160808,0.05819999999999996,1,0,GLOBAL,L2,0.31861406163196443
2024-06-17,0.019025189217615795,0.01573841982487634,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-18,0.01224465476759933,0.009210187245452868,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-19,0.007697171596864074,0.005422831334382827,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
