rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
clima_swh_mean_deseasonalized_detrended_min_5d > threshold,single,6,0.062416860540339784,0.035794634541391396,0.5689484126984127,0.6452054794520549,0.05820643965494572,0.03597677344765563,0.39333672326933833,0.16926762646061763,0.0,0.16091954022988506,1.0723175750444882,24,750,1389,27
anom_swh_p80_deseasonalized_detrended_max_3d > threshold,single,6,0.2013906899079154,0.16841241196079904,0.6461309523809523,0.9031963470319635,0.15894499901760528,0.16709004334293054,0.3174653707435115,0.038810099289270844,0.0425531914893617,0.42857142857142855,1.2670384353972246,27,188,1951,24
anom_swh_p25_deseasonalized_detrended_max_2d > threshold,single,6,0.21559740881146308,0.1671470512324171,0.6802579365079365,0.9009132420091325,0.1863057482357414,0.1832968879273427,0.29269750213980533,0.04371272728912288,0.047619047619047616,0.5294117647058824,1.1572173893489839,30,196,1943,21
anom_swh_mean_deseasonalized_detrended_max_3d > threshold,single,6,0.19652442260981393,0.1418070205221908,0.6912698412698411,0.8926940639269406,0.1568582649541394,0.1495880637226222,0.26988561727086346,0.044054817238005015,0.05263157894736842,0.45714285714285713,1.2528709902298174,31,215,1924,20
swh_p80_deseasonalized_detrended_max_2d > threshold,single,6,0.21249677231532482,0.16509388419952498,0.6936507936507935,0.8958904109589042,0.17800863718463794,0.1697394837430199,0.3151023541251443,0.041405228465342586,0.043478260869565216,0.47058823529411764,1.1937374609382276,31,208,1931,20
anom_swh_min_deseasonalized_detrended > threshold,single,6,0.20518957964267567,0.16003532286427025,0.6795634920634921,0.8863013698630136,0.18490928929283693,0.16807952747782853,0.303102267403121,0.05373635800730882,0.034482758620689655,0.5,1.1096709676210772,30,228,1911,21
anom_swe_max > threshold,single,6,0.1761235486628705,0.11349019167415392,0.6933531746031747,0.8968036529680367,0.10467788656641885,0.08040896315645282,0.27772317348794406,0.030294317426797022,0.06451612903225806,0.3111111111111111,1.682512629240854,27,202,1937,24
swh_mean_waverys > threshold,single,6,0.17009697197703968,0.11169769856978973,0.6630952380952381,0.8931506849315068,0.12657020249491777,0.09477902882240177,0.3508452702091307,0.03161980941644606,0.046511627906976744,0.3333333333333333,1.3438836688295634,28,211,1928,23
swh_p25_deseasonalized_detrended > threshold,single,6,0.2066789293082397,0.1627199844965962,0.6810515873015873,0.8949771689497715,0.17236652404010133,0.16295574709972704,0.31315643451066855,0.05159615302949967,0.05,0.46153846153846156,1.1990595702944356,30,209,1930,21
swh_cv_deseasonalized_detrended_min_7d > threshold,single,6,0.053708969048719,0.03017252283812166,0.5214285714285714,0.6278538812785388,0.05903571821918594,0.03445905382271673,0.32595577235704815,0.16900727146921873,0.0,0.14678899082568808,0.9097553297138473,18,782,1357,33
anom_swh_p75_deseasonalized_detrended_max_3d > threshold,single,6,0.2069087289059929,0.1811099526560053,0.6357142857142857,0.9077625570776257,0.16516743814804397,0.18404325891399495,0.32175468465510443,0.04142939259256166,0.046511627906976744,0.45714285714285713,1.2527134798025772,26,177,1962,25
anom_swh_p75_deseasonalized > threshold,single,6,0.23197749473611542,0.20513955984970478,0.7150793650793651,0.9036529680365297,0.17873899952187924,0.20228954442904315,0.294013075536694,0.05613207668661417,0.05405405405405406,0.5,1.2978488047255448,29,189,1950,22
anom_swh_p25_deseasonalized > threshold,single,6,0.23561764158406626,0.20879136347886348,0.6587301587301587,0.9178082191780822,0.19241665661302043,0.22997458354487668,0.3117744790305235,0.04089448363188011,0.05263157894736842,0.5517241379310345,1.224511542918991,28,157,1982,23
swh_p80_deseasonalized_detrended_mean_2d > threshold,single,6,0.19759872939433776,0.14647178004394149,0.735813492063492,0.8684931506849315,0.17121610259243517,0.1538169754016074,0.24069427189026768,0.06852601951063444,0.045454545454545456,0.47368421052631576,1.1540828947719164,31,268,1871,20
anom_swh_mean_deseasonalized > threshold,single,6,0.2309368801945684,0.17830319322254806,0.7470238095238096,0.898173515981735,0.18261373195687164,0.16713805939577717,0.2579174290868249,0.048991837714379934,0.04878048780487805,0.5,1.2646125409482794,32,204,1935,19
anom_swh_mean_deseasonalized_detrended_mean_2d > threshold,single,6,0.18443941436135228,0.133577630946052,0.6683531746031747,0.8794520547945206,0.16323355398705083,0.1405003147686947,0.2889794618068608,0.04764288245322556,0.043478260869565216,0.45,1.1299042381430073,29,242,1897,22
swh_max_deseasonalized > threshold,single,6,0.24939688948584526,0.19329850036371776,0.758829365079365,0.9105022831050228,0.1865943125902018,0.17904794064603324,0.2273280967820426,0.03258623579819156,0.05263157894736842,0.45161290322580644,1.3365656726520643,33,178,1961,18
swh_p80_deseasonalized_detrended_std_2d > threshold,single,6,0.12414063757393057,0.08427119494521455,0.5171626984126984,0.8853881278538812,0.07654983585347726,0.06549913657268944,0.2778558209527729,0.04315974392115834,0.05714285714285714,0.24390243902439024,1.6216757947822145,18,218,1921,33
anom_swh_p75_deseasonalized_detrended_std_2d > threshold,single,6,0.11668688138142473,0.07505596255596256,0.5513888888888888,0.8611872146118723,0.07276526022950518,0.05683212700510779,0.25768287285530433,0.06263535415335984,0.043478260869565216,0.2153846153846154,1.6035849721202338,21,274,1865,30
anom_cv > threshold,single,6,0.1091017059381376,0.061531672706072044,0.8243055555555555,0.65662100456621,0.09520448601559961,0.05574113799182159,0.25860760529906796,0.18452551409791385,0.013986013986013986,0.22608695652173913,1.1459602855266247,43,744,1395,8
swh_mean_swan > threshold,single,6,0.23938951304174458,0.16881284835084723,0.7380952380952381,0.9123287671232877,0.17994143926469183,0.1455198449486937,0.2825218471274539,0.02425856835197662,0.05,0.4444444444444444,1.330367166411517,35,176,1963,16
anom_swh_p80_deseasonalized_detrended_std_7d > threshold,single,6,0.15959417899649836,0.11682942908124584,0.6847222222222221,0.8168949771689498,0.12750489253487976,0.1146543411841928,0.346025716235508,0.15542160933981458,0.015151515151515152,0.3157894736842105,1.2516612042289788,30,380,1759,21
anom_swh_max_deseasonalized_detrended_min_2d > threshold,single,6,0.17226581214136308,0.1302997916826419,0.6912698412698411,0.869406392694064,0.14383561073461795,0.1314963239658782,0.2858795818147282,0.0563522861903498,0.04081632653061224,0.41025641025641024,1.1976492720563174,27,262,1877,24
swh_median_swan > threshold,single,6,0.23578139114724483,0.16524073199003228,0.7380952380952381,0.9105022831050228,0.1771285397108183,0.1421055882460023,0.2825218471274539,0.02699244303475602,0.047619047619047616,0.4444444444444444,1.3311240549271541,35,180,1959,16
swh_min_waverys > threshold,single,6,0.18829558613957717,0.12511958628150532,0.6853174603174604,0.8990867579908676,0.14650907262485927,0.11268904535547017,0.33996937526031723,0.03561292571368272,0.046511627906976744,0.4186046511627907,1.2852057388689595,30,200,1939,21
swh_p60_deseasonalized_detrended > threshold,single,6,0.21532935828607144,0.17632252697551207,0.7485119047619048,0.8776255707762557,0.18825925330685694,0.18579697278291668,0.27297848783117346,0.060761828064967806,0.044444444444444446,0.5,1.1437855548568339,32,249,1890,19
anom_swh_p80_deseasonalized_detrended_max_5d > threshold,single,6,0.20141154148908838,0.15214834916327455,0.656547619047619,0.9013698630136986,0.16790262861887906,0.14909091643997566,0.3151896722268324,0.04314524862472226,0.0392156862745098,0.4878048780487805,1.199566341393778,28,193,1946,23
swh_median_deseasonalized_detrended_max_3d > threshold,single,6,0.20884116539112604,0.16365950818755196,0.6912698412698411,0.8922374429223745,0.18345246969967854,0.19455861644111505,0.26988561727086346,0.041138486296070344,0.045454545454545456,0.5161290322580645,1.1383876561888324,31,216,1923,20
swh_p25_waverys > threshold,single,6,0.18859315378624322,0.12580895897870717,0.7408730158730158,0.8858447488584474,0.1511773408573588,0.11813673193340687,0.2952396953361658,0.04021584349084314,0.05405405405405406,0.42857142857142855,1.247487918683976,31,230,1909,20
