run,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Year,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost,run_name,mindur,source_file
run_g6,2827,1.5,7,2022,2,24.0,10.12,14.0,3.0,8.0,0.0,0.2727272727272727,1.0,0.4285714285714285,15.909090909090908,48.0,175.0,0.121125,0.5742740708365709,16.646961805555556,38.65999999999997,1628352,1129463.0645833332,2623003.679999998,756740.2532708335,1757412.4655999988,1.0,1.0,508860.0,1119492.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
run_g6,2827,1.5,7,2023,1,14.0,10.121,14.0,0.0,10.0,1.0,0.0,0.0,0.0,12.2,14.0,122.0,0.00475,0.4924812030075188,8.0,10.82,474936,271392.0,367057.68,181832.64000000004,245928.6456,0.0,1.0,0.0,474936.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
run_g6,2827,1.5,7,2024,1,7.0,10.12,14.0,1.0,8.0,0.0,0.1111111111111111,1.0,0.1999999999999999,11.444444444444445,7.0,103.0,0.18575,0.8525283599307825,16.006729475100943,40.58000000000004,237468,543012.2907133243,1376635.920000001,363818.2347779274,922346.066400001,1.0,0.0,237468.0,0.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
run_g7,4606,1.25,3,2019,2,3.5,24.239,31.0,0.0,21.0,2.0,0.0,0.0,0.0,6.142857142857143,7.0,129.0,0.13175,0.8377593202079504,9.276796833303685,28.629999999999995,386904,1025494.2291407222,3164874.7199999997,687081.133524284,2120466.0624,1.0,1.0,221088.0,165816.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,3,2020,3,3.3333333333333335,24.242,31.0,1.0,24.0,2.0,0.04,0.3333333333333333,0.0714285714285714,6.24,10.0,156.0,0.1101666666666666,0.8395319539409895,6.301443996910989,18.51666666666667,552720,1044880.2377917924,3070359.600000001,700069.759320501,2057140.9320000005,1.0,2.0,165816.0,386904.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,3,2021,8,5.125,24.239,31.0,4.0,19.0,4.0,0.1739130434782608,0.5,0.2580645161290322,7.3478260869565215,41.0,169.0,0.17228125,0.800551697528851,9.089305030517965,25.095,2266152,4019072.541174311,11096406.72,2692778.602586789,7434592.502400001,8.0,0.0,2266152.0,0.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,3,2022,8,6.375,24.239,31.0,5.0,19.0,3.0,0.2083333333333333,0.625,0.3125,6.416666666666667,51.0,154.0,0.12471875,0.6883148981705797,8.116768297108731,21.93499999999998,2818872,3589040.1385423504,9699130.55999999,2404656.892823375,6498417.475199995,5.0,3.0,1989792.0,829080.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,3,2023,17,4.705882352941177,24.239,31.0,11.0,12.0,7.0,0.4782608695652174,0.6111111111111112,0.5365853658536586,6.173913043478261,80.0,142.0,0.1373970588235293,0.7615275858037938,7.629274077686464,20.91411764705882,4421760,7168649.025972065,19651406.88,4802994.847401285,13166442.6096,11.0,6.0,3205776.0,1215984.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,3,2024,3,4.0,24.244,31.0,3.0,23.0,0.0,0.1153846153846153,1.0,0.2068965517241379,5.423076923076923,12.0,141.0,0.0705,0.7038733826482626,5.6555021734156945,12.87,663264,937772.7483870968,2134051.92,628307.7414193549,1429814.7864000003,1.0,2.0,165816.0,497448.0,run_g7,3,yearly_summary_run_g7_mindur3.csv
run_g7,4606,1.25,5,2021,4,6.75,12.424,17.0,2.0,15.0,2.0,0.1176470588235294,0.5,0.1904761904761904,8.705882352941176,27.0,148.0,0.1545625,0.7980968209970918,11.029356586999786,26.792500000000015,1492344,2438458.3891066085,5923500.240000005,1633767.120701428,3968745.160800003,3.0,1.0,1215984.0,276360.0,run_g7,5,yearly_summary_run_g7_mindur5.csv
run_g7,4606,1.25,5,2022,6,7.166666666666667,12.424,17.0,3.0,11.0,3.0,0.2142857142857142,0.5,0.3,8.5,43.0,119.0,0.0947083333333333,0.6921621975258657,9.276515545630518,21.749999999999996,2376696,3076389.403428541,7212995.999999998,2061180.900297122,4832707.319999998,1.0,5.0,607992.0,1768704.0,run_g7,5,yearly_summary_run_g7_mindur5.csv
run_g7,4606,1.25,5,2023,7,6.428571428571429,12.424,17.0,4.0,10.0,3.0,0.2857142857142857,0.5714285714285714,0.3809523809523809,8.0,45.0,112.0,0.1113214285714285,0.6920987585001382,8.985692065975885,22.904285714285717,2487240,3476600.2030943334,8861759.760000002,2329322.136073204,5937379.0392,3.0,4.0,884352.0,1602888.0,run_g7,5,yearly_summary_run_g7_mindur5.csv
run_g7,4606,1.25,5,2024,1,5.0,12.425,17.0,0.0,14.0,1.0,0.0,0.0,0.0,7.142857142857143,5.0,100.0,0.0,,,,276360,0.0,0.0,0.0,0.0,0.0,1.0,0.0,276360.0,run_g7,5,yearly_summary_run_g7_mindur5.csv
run_g7,4606,1.25,7,2021,1,10.0,6.947,11.0,1.0,12.0,0.0,0.0769230769230769,1.0,0.1428571428571428,9.846153846153848,10.0,128.0,0.14025,0.7532976827094474,11.81283422459893,26.0,552720,652918.973262032,1437072.0,437455.71208556154,962838.24,1.0,0.0,552720.0,0.0,run_g7,7,yearly_summary_run_g7_mindur7.csv
run_g7,4606,1.25,7,2022,3,8.666666666666666,6.947,11.0,1.0,6.0,2.0,0.1428571428571428,0.3333333333333333,0.2,11.714285714285714,26.0,82.0,0.1086666666666666,0.7383750978695646,12.882955138236827,30.089999999999936,1437072,2136200.089201878,4989403.439999989,1431254.0597652583,3342900.304799993,1.0,2.0,607992.0,829080.0,run_g7,7,yearly_summary_run_g7_mindur7.csv
run_g7,4606,1.25,7,2023,2,9.5,6.947,11.0,2.0,5.0,0.0,0.2857142857142857,1.0,0.4444444444444445,10.857142857142858,19.0,76.0,0.0705,0.6665468116752863,11.947279723810434,31.56999999999995,1050168,1320700.0897889007,3489874.0799999945,884869.0601585634,2338215.633599997,0.0,2.0,0.0,1050168.0,run_g7,7,yearly_summary_run_g7_mindur7.csv
run_g8,3948,1.8,3,2018,11,4.545454545454546,26.085,33.0,7.0,23.0,4.0,0.2333333333333333,0.6363636363636364,0.3414634146341463,6.133333333333334,50.0,184.0,0.16225,0.8234831356527729,10.329347950922552,29.822727272727263,2368800,5382995.073751975,15541696.799999995,3606606.6994138234,10412936.856,9.0,2.0,2084544.0,284256.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2019,14,4.857142857142857,26.085,33.0,7.0,17.0,7.0,0.2916666666666667,0.5,0.3684210526315789,6.916666666666667,68.0,166.0,0.1638035714285714,0.7683721942315869,8.9931376172281,27.36499999999999,3221568,5964824.428553179,18150219.359999992,3996432.36713063,12160646.971199997,12.0,2.0,2889936.0,331632.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2020,14,5.142857142857143,26.095,33.0,5.0,22.0,10.0,0.1851851851851851,0.3333333333333333,0.238095238095238,7.037037037037037,72.0,190.0,0.1709999999999999,0.8238026450348416,10.54588620891334,31.28071428571428,3411072,6994706.670468699,20747371.68,4686453.469214028,13900739.025599996,14.0,0.0,3411072.0,0.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2021,19,4.684210526315789,26.085,33.0,9.0,13.0,10.0,0.4090909090909091,0.4736842105263157,0.4390243902439024,8.863636363636363,89.0,195.0,0.1667631578947369,0.8137080006714726,9.546198926684694,28.701052631578943,4216464,8592953.686661668,25835080.319999993,5757278.970063318,17309503.814399995,16.0,3.0,3742704.0,473760.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2022,15,4.866666666666666,26.085,33.0,7.0,15.0,8.0,0.3181818181818182,0.4666666666666667,0.3783783783783784,8.454545454545455,73.0,186.0,0.1680833333333333,0.794082031420467,9.216649116241529,27.457333333333345,3458448,6549719.527965879,19512279.360000007,4388312.083737139,13073227.171200007,12.0,3.0,2937312.0,521136.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2023,13,5.076923076923077,26.085,33.0,13.0,12.0,1.0,0.52,0.9285714285714286,0.6666666666666666,6.36,66.0,159.0,0.1598846153846154,0.7840912399202836,9.020005069574031,26.711538461538453,3126816,5555312.882289813,16451315.999999994,3722059.6311341743,11022381.719999995,10.0,3.0,2605680.0,521136.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,3,2024,8,4.75,26.096,33.0,6.0,23.0,2.0,0.2068965517241379,0.75,0.3243243243243243,5.344827586206897,38.0,155.0,0.1491875,0.7746388862627969,8.870510663055393,25.391249999999996,1800288,3361994.5053832987,9623486.88,2252536.31860681,6447736.209599999,5.0,3.0,1231776.0,568512.0,run_g8,3,yearly_summary_run_g8_mindur3.csv
run_g8,3948,1.8,5,2018,4,6.75,14.882,20.0,3.0,15.0,1.0,0.1666666666666666,0.75,0.2727272727272727,7.833333333333333,27.0,141.0,0.1876875,0.8278582416986211,12.799619122378402,35.14750000000001,1279152,2425579.0221671965,6660591.840000002,1625137.944852022,4462596.532800001,4.0,0.0,1279152.0,0.0,run_g8,5,yearly_summary_run_g8_mindur5.csv
run_g8,3948,1.8,5,2019,7,6.0,14.882,20.0,3.0,12.0,4.0,0.2,0.4285714285714285,0.2727272727272727,9.0,42.0,135.0,0.1452142857142857,0.7776227809607524,11.11454617886208,32.10999999999998,1989792,3685939.178388389,10648703.519999994,2469579.249520221,7134631.358399996,6.0,1.0,1752912.0,236880.0,run_g8,5,yearly_summary_run_g8_mindur5.csv
run_g8,3948,1.8,5,2020,5,8.6,14.883,20.0,2.0,10.0,3.0,0.1666666666666666,0.4,0.2352941176470588,11.583333333333334,43.0,139.0,0.17425,0.7235106471320664,11.908157437741211,33.894000000000005,2037168,2820804.333852138,8028810.720000002,1889938.9036809325,5379303.182400001,5.0,0.0,2037168.0,0.0,run_g8,5,yearly_summary_run_g8_mindur5.csv
